Значения перечисления ХозяйственныеОперации
==========================================

АвансовыйОтчет | Авансовый отчет
НачислениеПроцентовПоДисконтированию | Начисление процентов по дисконтированию
НачислениеПроцентовПоДоходнойАренде | Начисление процентов по доходной аренде
НачислениеРеверсивногоНДС | Начисление реверсивного НДС
НачислениеРезерваПодОбесценениеЗапасов | Начисление резерва под обесценение запасов
НачислениеРезервовПоВознаграждениям | Начисление резервов по вознаграждениям
НачислениеРезервовПоСомнительнымДолгам | Начисление резервов по сомнительным долгам
НачислениеРезервовПоСтраховымВзносам | Начисление резервов по страховым взносам
НачислениеРезервовПредстоящихРасходов | Начисление резервов предстоящих расходов
НачислениеСписаниеРезервовПоСомнительнымДолгам | Начисление списание резервов по сомнительным долгам
НачислениеСписаниеРезервовПредстоящихРасходов | Начисление списание резервов предстоящих расходов
НачислениеТорговогоСбора | Начисление торгового сбора
НачисленияПоДепозитам | Начисления по депозитам
НачисленияПоЗаймамВыданным | Начисления по займам выданным
НачисленияПоКредитам | Начисления по кредитам
НедоначисленныеПроцентыПоАренде | Недоначисленные проценты по аренде
ОбеспечительныйПлатеж | Обеспечительный платеж
ОбеспечительныйПлатежПриУчетеЗаБалансом | Обеспечительный платеж при учете за балансом
ОбесценениеНМА | Обесценение НМА
ОбесценениеОС | Обесценение основных средств
